image_id,satellite,aoi,customer,is_internal,bandset,queue,attempt,is_reprocess,t_acq,t_trigger,t_proc_end,t_qa,t_upload,t_deadline,last_ts,cloud_status,cloud_pct,cloud_excluded,target_status,plan_coverage_pct,qc_status,image_complete,proc_state,proc_terminal,proc_kind,fail_reason_raw,processable,non_processable_reason,delivered,delivered_secondary,ambiguous_success,ambiguous_reason,customer_visible_status,priority,sla_hours,strip_fulfillment,solar_zenith,solar_azimuth,sat_zenith,sat_azimuth,off_nadir,offset_north_km,offset_east_km,relative_light,bbr_flag,notes,dur_queue_h,dur_processing_h,dur_qc_queue_h,dur_qc_deliver_h,dur_e2e_h,n_attempt_rows,max_attempt,reprocessed,reprocess_success,first_attempt_qc,first_pass_success,censored,stale,age_h,met_sla
FF03_20260603_1090_DUBAI,FF03,Dubai Urban,UrbanAtlas,False,Standard_RGB,nightly_reprocess,1,False,2026-06-03 18:50:00,2026-06-03 22:55:02,2026-06-04 02:25:02,2026-06-04 05:25:02,2026-06-04 03:25:02,2026-06-04 06:50:00,2026-06-04 05:25:02,Clear,19.3,False,Captured,93.9,Pass,Complete,Delivered,True,success,,True,,True,True,False,,Delivered,P1,12,Fulfilled,41.5,120.1,9.4,205.3,10.6,2.0,5.1,Medium,False,Duplicate row from reprocess attempt,4.08,3.5,3.0,,8.58,1,1,False,False,Pass,True,False,False,,True
FF03_20260603_1018_AMAZO,FF03,Amazon Forest,ForestWatch,False,Water/Coastal,science_debug,3,True,2026-06-03 20:35:00,2026-06-04 20:50:02,2026-06-04 23:50:02,2026-06-05 04:55:02,,2026-06-05 20:35:00,2026-06-05 04:55:02,Partly_Cloudy,67.5,True,Captured,99.8,Fail,Complete,Processing_Failed,True,defect,severe BBR,True,,False,False,False,,Internal review,Standard,48,Unknown,54.9,119.8,7.7,358.4,8.1,-4.0,2.5,Very_Low,True,Reprocess attempt,24.25,3.0,5.08,,,3,3,True,False,Fail,False,False,False,,
FF03_20260604_1080_SAHAR,FF03,Sahara PICS,Calibration,True,RedEdge,default,1,False,2026-06-04 08:15:00,2026-06-04 12:51:40,2026-06-04 21:30:40,2026-06-05 00:31:40,2026-06-04 23:07:40,2026-06-06 08:15:00,2026-06-05 00:31:40,Clear,7.4,False,Captured,98.3,Pass,Strip_Incomplete,Delivered,True,success,Recovered after reprocess,True,,True,True,False,,On track,Standard,48,Fulfilled,23.1,92.0,21.5,275.6,21.3,6.1,5.9,Very_Low,False,Check if cloudy should be excluded from KPI,4.61,8.65,3.02,,14.88,1,1,False,False,Pass,True,False,False,,True
FF02_20260605_1088_DUBAI,FF02,Dubai Urban,UrbanAtlas,False,Standard_RGB,science_debug,1,False,2026-06-05 16:20:00,2026-06-05 23:01:58,2026-06-06 02:27:58,2026-06-06 04:18:58,,2026-06-06 00:20:00,2026-06-06 04:18:58,Clear,5.9,False,Captured,97.7,Pending,Complete,Processed_Pre_Delivery,False,inflight,,True,,False,False,False,,At risk,P0,8,Fulfilled,44.3,108.5,6.2,22.3,5.6,-4.3,-3.5,Medium,False,Manual QC comment missing,6.7,3.43,1.85,,,1,1,False,False,Pending,False,True,True,582.41,
FF03_20260606_1032_GUJAR,FF03,Gujarat Salt Pans,MineralsCo,False,Water/Coastal,priority,1,False,2026-06-06 11:20:00,2026-06-06 12:57:24,2026-06-06 21:10:24,2026-06-07 01:50:24,2026-06-06 23:45:24,2026-06-08 11:20:00,2026-06-07 01:50:24,Clear,28.4,False,Captured,85.0,Pass,Incomplete,Delivered,True,success,artifact reduced,True,,True,True,False,,Delivered,Standard,48,Partially_Fulfilled,44.8,201.7,17.1,272.6,16.5,-7.4,7.9,Medium,False,AOI edge clipped,1.62,8.22,4.67,,12.42,1,1,False,False,Pass,True,False,False,,True
FF03_20260606_1052_RAJAS,FF03,Rajasthan Crop Belt,AgriSense,False,Standard_RGB,science_debug,1,False,2026-06-06 15:40:00,2026-06-06 21:28:46,2026-06-07 02:12:46,2026-06-07 02:28:46,2026-06-07 04:59:46,2026-06-07 07:40:00,2026-06-07 04:59:46,Partly_Cloudy,32.0,False,Captured,90.7,Pass,Complete,Delivered,True,success,,True,,True,True,False,,Delivered,P1,16,Fulfilled,22.1,93.4,12.9,102.4,13.6,1.1,-3.2,Medium,False,High off-nadir; review BRDF/artifact risk,5.81,4.73,0.27,2.52,13.33,1,1,False,False,Pass,True,False,False,,True
FF02_20260607_1028_MADHY,FF02,Madhya Pradesh Soy,AgriSense,False,VNIR_FULL,nightly_reprocess,2,True,2026-06-07 08:35:00,2026-06-08 00:49:05,2026-06-08 10:41:05,2026-06-08 15:57:05,2026-06-08 12:55:05,2026-06-09 08:35:00,2026-06-08 15:57:05,Partly_Cloudy,44.5,False,Captured,90.9,Pass_With_Note,Complete,Delivered,True,success,low SNR but accepted,True,,True,True,True,low_snr_accepted,Delivered,Standard,48,Fulfilled,51.6,226.7,13.9,3.7,14.5,-5.4,0.2,Medium,False,Duplicate row from reprocess attempt,16.23,9.87,5.27,,28.33,3,2,True,True,Pass_With_Note,False,False,False,,True
FF03_20260607_1045_ODISH,FF03,Odisha Mining Belt,MineralsCo,False,Standard_RGB,priority,1,False,2026-06-07 15:40:00,2026-06-07 21:39:12,2026-06-08 01:07:12,2026-06-08 06:13:12,2026-06-08 04:38:12,2026-06-09 15:40:00,2026-06-08 06:13:12,Clear,9.2,False,Captured,99.4,Pass,Complete,Delivered,True,success,,True,,True,True,False,,On track,Unknown,48,Fulfilled,28.0,119.3,0.5,104.3,0.8,0.9,-7.5,Medium,False,Manual QC comment missing,5.99,3.47,5.1,,12.97,1,1,False,False,Pass,True,False,False,,True
FF01_20260608_1029_SAHAR,FF01,Sahara PICS,Calibration,True,VNIR_FULL,nightly_reprocess,1,False,2026-06-08 09:15:00,2026-06-08 12:26:54,2026-06-08 16:12:54,2026-06-08 18:06:54,2026-06-08 20:02:54,2026-06-10 09:15:00,2026-06-08 20:02:54,Clear,6.0,False,Captured,85.2,Pass,Complete,Processed_Pre_Delivery,False,inflight,,True,,True,True,False,,Delivered,Standard,48,Unknown,57.7,141.6,6.0,143.1,6.6,6.5,-5.0,Medium,True,Potential BBR recurring issue,3.2,3.77,1.9,1.93,10.8,2,1,False,False,Pass,True,False,False,,True
FF02_20260608_1070_PUNJA,FF02,Punjab Wheat Belt,FoodSecurity Lab,False,Water/Coastal,default,2,True,2026-06-08 09:15:00,2026-06-09 05:35:32,2026-06-09 17:34:32,2026-06-09 18:06:32,2026-06-09 20:36:32,2026-06-10 09:15:00,2026-06-09 20:36:32,Clear,4.3,False,Captured,99.9,Pass,Complete,Delivered,True,success,,True,,True,True,False,,On track,Standard,48,Fulfilled,52.7,204.1,10.1,260.0,11.0,1.3,2.8,Low,False,Manual retry after QC fail,20.34,11.98,0.53,2.5,35.36,2,2,True,True,Pass_With_Note,False,False,False,,True
FF02_20260608_1081_SAHAR,FF02,Sahara PICS,Calibration,True,RedEdge,priority,1,False,2026-06-08 15:35:00,2026-06-08 21:47:10,2026-06-09 06:40:10,2026-06-09 07:54:10,2026-06-09 09:21:10,2026-06-09 03:35:00,2026-06-09 09:21:10,Clear,4.7,False,Captured,87.9,Pass,Complete,Delivered,True,success,Recovered after reprocess,True,,True,True,False,,Internal review,P1,12,Fulfilled,47.7,86.1,1.4,314.9,1.9,8.0,5.2,High,True,Potential BBR recurring issue,6.2,8.88,1.23,1.45,17.77,1,1,False,False,Pass,True,False,False,,False
FF03_20260609_1005_RAJAS,FF03,Rajasthan Crop Belt,AgriSense,False,VNIR_FULL,science_debug,1,False,2026-06-09 05:15:00,2026-06-09 08:29:22,2026-06-09 10:15:22,2026-06-09 14:23:22,,2026-06-10 05:15:00,2026-06-09 14:23:22,Clear,24.9,False,Captured,90.6,Pass,Complete,In_QC,False,inflight,,True,,False,False,False,,At risk,P2,24,Fulfilled,40.9,172.1,8.8,325.2,9.7,-5.2,3.9,Medium,False,Manual QC comment missing,3.24,1.77,4.13,,,1,1,False,False,Pass,True,True,True,500.33,
FF02_20260609_1000_NILED,FF02,Nile Delta Farms,AgriSense,False,VNIR_FULL,priority,2,True,2026-06-09 07:40:00,2026-06-09 20:52:14,2026-06-10 03:48:14,2026-06-10 04:52:14,,2026-06-09 15:40:00,2026-06-10 04:52:14,Partly_Cloudy,40.1,False,Captured,97.7,Fail,Incomplete,In_QC,False,inflight,missing metadata,True,,False,False,False,,At risk,P0,8,Partially_Fulfilled,25.0,161.0,12.1,293.7,13.2,-2.8,5.2,Low,False,Duplicate row from reprocess attempt,13.2,6.93,1.07,,,2,2,True,False,Reprocess_Required,False,True,True,485.85,
FF03_20260609_1011_BENGA,FF03,Bengaluru Urban,Internal Demo,True,Standard_RGB,default,1,False,2026-06-09 21:35:00,2026-06-10 03:58:01,2026-06-10 06:06:01,2026-06-10 06:23:01,2026-06-10 10:01:01,2026-06-11 21:35:00,2026-06-10 10:01:01,Clear,28.5,False,Captured,93.3,Pass,Complete,Delivered,True,success,,True,,True,True,False,,On track,Standard,48,Fulfilled,39.5,145.7,7.8,344.8,7.0,-1.4,-4.4,Medium,False,,6.38,2.13,0.28,3.63,12.43,1,1,False,False,Pass,True,False,False,,True
FF02_20260610_1064_ANDHR,FF02,Andhra Aquaculture,AquaMaps,False,Standard_RGB,science_debug,1,False,2026-06-10 12:55:00,2026-06-10 17:00:29,2026-06-10 19:33:29,2026-06-10 22:14:29,2026-06-10 20:26:29,2026-06-12 12:55:00,2026-06-10 22:14:29,Clear,17.9,False,Captured,97.6,Pending,Complete,Delivered,True,success,,True,,True,True,False,,On track,Standard,48,Fulfilled,51.1,132.3,9.4,71.7,8.6,-1.6,6.1,Medium,False,Customer asked for quick update,4.09,2.55,2.68,,7.52,1,1,False,False,Pending,False,False,False,,True
FF01_20260610_1036_NILED,FF01,Nile Delta Farms,AgriSense,False,Standard_RGB,science_debug,2,True,2026-06-10 14:55:00,2026-06-11 09:35:49,2026-06-11 16:50:49,2026-06-11 23:09:49,2026-06-11 18:40:49,2026-06-12 14:55:00,2026-06-11 23:09:49,Unknown,,False,Captured,96.5,Pass,Complete,Delivered,True,success,low SNR but accepted,True,,True,True,True,low_snr_accepted,Delivered,Standard,48,Fulfilled,35.4,193.6,4.1,360.0,4.7,-7.1,-1.4,High,False,Reprocess attempt,18.68,7.25,6.32,,27.76,2,2,True,True,Pass,False,False,False,,True
FF01_20260610_1030_AMAZO,FF01,Amazon Forest,ForestWatch,False,VNIR_FULL,nightly_reprocess,2,True,,2026-06-11 10:50:32,2026-06-11 19:30:32,2026-06-11 21:07:32,,2026-06-12 17:10:00,2026-06-11 21:07:32,Clear,7.9,False,Captured,92.6,Pending,Complete,Delivered,True,success,low SNR but accepted,True,,False,True,True,"delivery_signal_mismatch(upload=False,cvs/pstate=True);low_snr_accepted",At risk,Standard,48,Unknown,26.0,221.0,22.9,68.0,22.4,-0.1,-1.6,High,False,Duplicate row from reprocess attempt,,8.67,1.62,,,2,2,True,False,Pass,False,True,True,445.6,
FF02_20260610_1079_GUJAR,FF02,Gujarat Salt Pans,MineralsCo,False,Vegetation,manual_retry,1,False,2026-06-10 21:00:00,2026-06-11 01:42:34,2026-06-11 03:17:34,2026-06-11 09:30:34,,2026-06-11 09:00:00,2026-06-11 09:30:34,Clear,16.7,False,Captured,95.1,Pending,Complete,Delivered,True,success,,True,,False,True,True,"delivery_signal_mismatch(upload=False,cvs/pstate=True)",Delayed,P1,12,Fulfilled,19.6,119.2,5.8,272.1,5.6,-3.8,0.4,High,False,,4.71,1.58,6.22,,,1,1,False,False,Pending,False,True,True,457.21,
FF01_20260611_1067_PUNJA,FF01,Punjab Wheat Belt,FoodSecurity Lab,False,Vegetation,science_debug,1,False,2026-06-11 04:10:00,2026-06-11 11:10:04,2026-06-11 14:09:04,2026-06-11 19:11:04,2026-06-11 15:51:04,2026-06-13 04:10:00,2026-06-11 19:11:04,Partly_Cloudy,40.4,False,Captured,87.3,Pass,Complete,Delivered,True,success,,True,,True,True,False,,Delivered,Standard,48,Fulfilled,23.3,258.5,23.2,239.9,23.6,-5.0,6.2,High,True,Potential BBR recurring issue,7.0,2.98,5.03,,11.68,2,1,False,False,Pass,True,False,False,,True
FF01_20260611_1093_ODISH,FF01,Odisha Mining Belt,MineralsCo,False,VNIR_FULL,nightly_reprocess,1,False,2026-06-11 06:10:00,2026-06-11 08:06:36,2026-06-11 11:44:36,2026-06-11 16:57:36,2026-06-11 14:48:36,2026-06-11 18:10:00,2026-06-11 16:57:36,Clear,19.2,False,Captured,87.2,Pass,Partial,Delivered,True,success,artifact reduced,True,,True,True,False,,Delivered,P1,12,Partially_Fulfilled,49.4,154.9,11.1,163.1,10.4,5.1,-3.3,High,False,AOI edge clipped,1.94,3.63,5.22,,8.64,1,1,False,False,Pass,True,False,False,,True
FF01_20260611_1035_ANDHR,FF01,Andhra Aquaculture,AquaMaps,False,Vegetation,science_debug,1,False,2026-06-11 13:25:00,2026-06-11 15:52:04,,2026-06-12 10:41:04,,2026-06-13 13:25:00,2026-06-12 10:41:04,Clear,4.6,False,Captured,89.2,Pending,Partial,Processing_Failed,True,defect,ISOFIT crash,True,,False,False,False,,At risk,Standard,48,Fulfilled,27.2,90.5,-0.6,16.5,0.1,3.8,4.1,Low,False,,2.45,,,,,1,1,False,False,Pending,False,False,False,,
FF02_20260611_1071_GUJAR,FF02,Gujarat Salt Pans,MineralsCo,False,Standard_RGB,priority,1,False,2026-06-11 15:00:00,2026-06-11 16:55:54,2026-06-11 21:54:54,2026-06-12 03:25:54,,2026-06-12 15:00:00,2026-06-12 03:25:54,Partly_Cloudy,51.1,False,Partial_Capture,54.5,Fail,Strip_Incomplete,In_QC,False,inflight,BBR,True,,False,False,False,,At risk,P2,24,Fulfilled,39.8,210.6,20.7,155.7,21.8,-6.8,2.6,High,True,Manual QC comment missing,1.93,4.98,5.52,,,1,1,False,False,Fail,False,True,True,439.29,
FF03_20260611_1057_PUNJA,FF03,Punjab Wheat Belt,FoodSecurity Lab,False,RedEdge,manual_retry,1,False,2026-06-11 20:15:00,2026-06-11 22:45:52,2026-06-12 04:44:00,2026-06-12 06:11:52,,2026-06-13 20:15:00,2026-06-12 06:11:52,Partly_Cloudy,31.5,False,Captured,86.1,Pass,Complete,In_QC,False,inflight,low SNR but accepted,True,,False,False,True,low_snr_accepted,Delayed,Standard,48,Fulfilled,53.0,165.9,15.3,239.3,14.3,-0.1,0.9,Medium,False,Check if cloudy should be excluded from KPI,2.51,5.97,1.46,,,1,1,False,False,Pass,True,True,True,436.52,
FF03_20260611_1019_ANDHR,FF03,Andhra Aquaculture,AquaMaps,False,VNIR_FULL,priority,1,False,2026-06-11 20:30:00,2026-06-12 01:40:13,2026-06-12 07:19:13,2026-06-12 11:14:13,2026-06-12 07:41:13,2026-06-12 20:30:00,2026-06-12 11:14:13,Partly_Cloudy,42.1,False,Captured,86.1,Pass,Partial,Processed_Pre_Delivery,False,inflight,artifact reduced,True,,True,True,False,,Delivered,P2,24,Fulfilled,23.1,165.6,10.9,246.8,10.0,8.0,-6.3,Medium,False,Duplicate row from reprocess attempt,5.17,5.65,3.92,,11.19,1,1,False,False,Pass,True,False,False,,True
FF01_20260611_1089_GUJAR,FF01,Gujarat Salt Pans,MineralsCo,False,Standard_RGB,priority,1,False,2026-06-11 22:25:00,2026-06-12 01:56:56,,2026-06-12 14:38:56,,2026-06-12 22:25:00,2026-06-12 14:38:56,Clear,13.1,False,Captured,97.5,Pass_With_Note,Complete,Processed_Pre_Delivery,False,inflight,minor haze,True,,False,False,False,,Delayed,P2,24,Fulfilled,32.7,124.4,14.0,79.4,12.8,3.5,-2.4,High,False,Duplicate row from reprocess attempt,3.53,,,,,1,1,False,False,Pass_With_Note,True,True,True,428.07,
FF02_20260612_1022_DUBAI,FF02,Dubai Urban,UrbanAtlas,False,Vegetation,manual_retry,1,False,2026-06-12 04:00:00,2026-06-12 11:15:07,2026-06-12 20:11:07,2026-06-12 23:19:07,,2026-06-14 04:00:00,2026-06-12 23:19:07,Clear,23.8,False,Captured,85.4,Fail,Incomplete,In_QC,False,inflight,Banding bright,True,,False,False,False,,At risk,Standard,48,Fulfilled,37.5,198.2,5.9,111.7,5.6,1.1,-2.2,Medium,True,Duplicate row from reprocess attempt,7.25,8.93,3.13,,,1,1,False,False,Fail,False,True,True,419.4,
FF03_20260612_1078_KUTCH,FF03,Kutch Coastal,CoastWatch,False,RedEdge,priority,1,False,2026-06-12 07:30:00,2026-06-12 12:47:22,2026-06-12 13:30:22,2026-06-12 19:41:22,2026-06-12 15:07:22,2026-06-14 07:30:00,2026-06-12 19:41:22,Clear,22.5,False,Captured,94.5,Pass,Complete,Processed_Pre_Delivery,False,inflight,,True,,True,False,True,"delivery_signal_mismatch(upload=True,cvs/pstate=False)",On track,Standard,48,Partially_Fulfilled,47.0,167.9,9.9,168.2,10.6,7.4,-5.4,Low,False,Downlink delay suspected,5.29,0.72,6.18,,7.62,1,1,False,False,Pass,True,False,False,,True
FF03_20260612_1049_RAJAS,FF03,Rajasthan Crop Belt,AgriSense,False,Vegetation,manual_retry,1,False,2026-06-12 09:10:00,2026-06-12 16:04:03,2026-06-12 22:01:03,2026-06-13 04:03:03,,2026-06-13 01:10:00,2026-06-13 04:03:03,Clear,16.0,False,Captured,85.5,Pending,Complete,Delivered,True,success,low SNR but accepted,True,,False,True,True,"delivery_signal_mismatch(upload=False,cvs/pstate=True);low_snr_accepted",At risk,P1,16,Partially_Fulfilled,48.4,234.6,12.5,29.0,11.5,1.1,-5.0,Medium,False,AOI edge clipped,6.9,5.95,6.03,,,1,1,False,False,Pending,False,True,True,414.67,
FF03_20260613_1008_BENGA,FF03,Bengaluru Urban,Internal Demo,True,Vegetation,default,1,False,2026-06-13 05:50:00,2026-06-13 10:36:18,2026-06-13 14:25:18,2026-06-13 18:36:18,,2026-06-13 21:50:00,2026-06-13 18:36:18,Clear,25.7,False,Partial_Capture,37.1,Fail,Incomplete,Processing_Failed,True,defect,bbr severe,True,,False,False,False,,At risk,P1,16,Unknown,42.6,96.8,11.8,293.8,10.8,3.7,-5.1,Low,True,Potential BBR recurring issue,4.77,3.82,4.18,,,1,1,False,False,Fail,False,False,False,,
FF03_20260613_1015_PUNJA,FF03,Punjab Wheat Belt,FoodSecurity Lab,False,VNIR_FULL,priority,1,False,2026-06-13 06:05:00,2026-06-13 12:06:06,2026-06-13 17:01:06,2026-06-13 20:45:06,2026-06-13 17:31:06,2026-06-13 22:05:00,2026-06-13 20:45:06,Clear,,False,Captured,92.5,Pass,Complete,Processed_Pre_Delivery,False,inflight,minor haze,True,,True,True,False,,Delivered,P1,16,Fulfilled,33.0,165.6,21.3,72.2,21.1,3.3,5.0,Low,False,Manual QC comment missing,6.02,4.92,3.73,,11.44,1,1,False,False,Pass,True,False,False,,True
FF02_20260613_1042_RAJAS,FF02,Rajasthan Crop Belt,AgriSense,False,Vegetation,default,1,False,2026-06-13 11:30:00,2026-06-13 13:06:21,,2026-06-13 22:02:21,,2026-06-13 23:30:00,2026-06-13 22:02:21,Partly_Cloudy,38.3,False,Partial_Capture,65.7,Pass,Complete,Delivered,True,success,minor haze,True,,False,True,True,"delivery_signal_mismatch(upload=False,cvs/pstate=True)",Internal review,P1,12,Not_Fulfilled,45.7,208.0,6.6,322.2,6.5,-2.6,6.3,High,False,Downlink delay suspected,1.61,,,,,1,1,False,False,Pass,True,True,True,396.68,
FF01_20260613_1001_ANDHR,FF01,Andhra Aquaculture,AquaMaps,False,Vegetation,default,1,False,2026-06-13 20:40:00,2026-06-13 22:14:35,2026-06-14 05:07:35,2026-06-14 07:20:35,2026-06-14 08:45:35,2026-06-14 12:40:00,2026-06-14 08:45:35,Clear,10.8,False,Captured,89.4,Pass,Complete,Delivered,True,success,low SNR but accepted,True,,True,True,True,low_snr_accepted,On track,P1,16,Fulfilled,50.2,175.6,10.6,82.8,9.7,-6.7,6.4,Very_Low,False,AOI edge clipped,1.58,6.88,2.22,1.42,12.09,1,1,False,False,Pass,True,False,False,,True
FF01_20260614_1073_PUNJA,FF01,Punjab Wheat Belt,FoodSecurity Lab,False,Vegetation,nightly_reprocess,2,True,2026-06-14 04:30:00,2026-06-14 19:01:37,2026-06-14 23:51:37,2026-06-15 00:53:37,,2026-06-15 04:30:00,2026-06-15 00:53:37,Clear,24.2,False,Captured,84.7,Fail,Incomplete,Processing_Failed,True,defect,bbr severe,True,,False,False,False,,At risk,P2,24,Partially_Fulfilled,40.9,86.3,23.9,262.5,23.5,-5.4,-4.2,High,True,Manual retry after QC fail,14.53,4.83,1.03,,,2,2,True,False,Reprocess_Required,False,False,False,,
